no	scene	subfolder	image_id	objects	labels	boxes	query	truth
1	desk	desk_1	10	coffee mug,soda can	coffee_mug_5,soda_can_6	(182, 158, 113, 101),(272, 175, 68, 115)	coffee mug	(1,0)
2	desk	desk_1	10	coffee mug,soda can	coffee_mug_5,soda_can_6	(182, 158, 113, 101),(272, 175, 68, 115)	soda can	(0,1)
2	desk	desk_1	11	coffee mug,soda can	coffee_mug_5,soda_can_6	(198, 177, 110, 100),(289, 197, 65, 114)	tall mug	(1,0)
3	desk	desk_1	11	coffee mug,soda can	coffee_mug_5,soda_can_6	(198, 177, 110, 100),(289, 197, 65, 114)	orange soda can	(0,1)
3	desk	desk_1	12	coffee mug,soda can	coffee_mug_5,soda_can_6	(225, 181, 107, 99),(315, 205, 64, 114)	tall mug	(1,0)
4	desk	desk_1	12	coffee mug,soda can	coffee_mug_5,soda_can_6	(225, 181, 107, 99),(315, 205, 64, 114)	orange soda can	(0,1)
4	desk	desk_1	13	coffee mug,soda can	coffee_mug_5,soda_can_6	(222, 195, 105, 99),(310, 225, 63, 111)	tall mug	(1,0)
5	desk	desk_1	13	coffee mug,soda can	coffee_mug_5,soda_can_6	(222, 195, 105, 99),(310, 225, 63, 111)	soda can	(0,1)
5	desk	desk_1	14	coffee mug,soda can	coffee_mug_5,soda_can_6	(257, 199, 102, 97),(342, 233, 62, 109)	coffee mug	(1,0)
6	desk	desk_1	14	coffee mug,soda can	coffee_mug_5,soda_can_6	(257, 199, 102, 97),(342, 233, 62, 109)	orange soda can	(0,1)
6	desk	desk_1	15	coffee mug,soda can	coffee_mug_5,soda_can_6	(275, 200, 99, 97),(356, 237, 62, 108)	coffee mug	(1,0)
7	desk	desk_1	15	coffee mug,soda can	coffee_mug_5,soda_can_6	(275, 200, 99, 97),(356, 237, 62, 108)	orange drink	(0,1)
7	desk	desk_1	16	coffee mug,soda can	coffee_mug_5,soda_can_6	(281, 186, 99, 96),(361, 226, 63, 106)	tall mug	(1,0)
8	desk	desk_1	16	coffee mug,soda can	coffee_mug_5,soda_can_6	(281, 186, 99, 96),(361, 226, 63, 106)	The soda can close to the coffee mug	(0,1)
8	desk	desk_1	17	coffee mug,soda can	coffee_mug_5,soda_can_6	(272, 180, 99, 96),(353, 222, 61, 105)	coffee mug	(1,0)
9	desk	desk_1	17	coffee mug,soda can	coffee_mug_5,soda_can_6	(272, 180, 99, 96),(353, 222, 61, 105)	orange drink	(0,1)
9	desk	desk_1	18	coffee mug,soda can	coffee_mug_5,soda_can_6	(262, 177, 97, 96),(342, 222, 60, 103)	tall mug	(1,0)
10	desk	desk_1	18	coffee mug,soda can	coffee_mug_5,soda_can_6	(262, 177, 97, 96),(342, 222, 60, 103)	soda can	(0,1)
10	desk	desk_1	19	coffee mug,soda can	coffee_mug_5,soda_can_6	(235, 169, 98, 96),(315, 214, 59, 101)	tall mug	(1,0)
11	desk	desk_1	19	coffee mug,soda can	coffee_mug_5,soda_can_6	(235, 169, 98, 96),(315, 214, 59, 101)	The soda can close to the white coffee mug	(0,1)
11	desk	desk_1	20	coffee mug,soda can	coffee_mug_5,soda_can_6	(232, 173, 99, 95),(308, 220, 61, 102)	coffee mug	(1,0)
12	desk	desk_1	20	coffee mug,soda can	coffee_mug_5,soda_can_6	(232, 173, 99, 95),(308, 220, 61, 102)	Welchs	(0,1)
12	desk	desk_1	21	coffee mug,soda can	coffee_mug_5,soda_can_6	(252, 168, 97, 95),(325, 218, 60, 101)	tall mug	(1,0)
13	desk	desk_1	21	coffee mug,soda can	coffee_mug_5,soda_can_6	(252, 168, 97, 95),(325, 218, 60, 101)	The soda can close to the white coffee mug	(0,1)
13	desk	desk_1	22	coffee mug,soda can	coffee_mug_5,soda_can_6	(264, 166, 97, 94),(336, 217, 60, 101)	tall mug	(1,0)
14	desk	desk_1	22	coffee mug,soda can	coffee_mug_5,soda_can_6	(264, 166, 97, 94),(336, 217, 60, 101)	The soda can close to the coffee mug	(0,1)
14	desk	desk_1	23	coffee mug,soda can	coffee_mug_5,soda_can_6	(309, 164, 96, 95),(378, 219, 61, 101)	The coffee mug close to the Welchs	(1,0)
15	desk	desk_1	23	coffee mug,soda can	coffee_mug_5,soda_can_6	(309, 164, 96, 95),(378, 219, 61, 101)	Welchs	(0,1)
15	desk	desk_1	24	coffee mug,soda can	coffee_mug_5,soda_can_6	(331, 166, 96, 96),(397, 224, 64, 102)	white coffee mug	(1,0)
16	desk	desk_1	24	coffee mug,soda can	coffee_mug_5,soda_can_6	(331, 166, 96, 96),(397, 224, 64, 102)	The soda can close to the coffee mug	(0,1)
16	desk	desk_1	25	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 238, 40, 103),(383, 173, 99, 99),(446, 237, 69, 106)	cap	(1,0,0)
17	desk	desk_1	25	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 238, 40, 103),(383, 173, 99, 99),(446, 237, 69, 106)	coffee mug	(0,1,0)
18	desk	desk_1	25	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 238, 40, 103),(383, 173, 99, 99),(446, 237, 69, 106)	soda can	(0,0,1)
17	desk	desk_1	26	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 218, 77, 135),(416, 178, 100, 99),(477, 242, 72, 109)	The cap left from the coffee mug	(1,0,0)
18	desk	desk_1	26	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 218, 77, 135),(416, 178, 100, 99),(477, 242, 72, 109)	tall mug	(0,1,0)
19	desk	desk_1	26	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 218, 77, 135),(416, 178, 100, 99),(477, 242, 72, 109)	Welchs	(0,0,1)
18	desk	desk_1	27	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 211, 102, 145),(439, 178, 103, 99),(500, 244, 75, 110)	black dotted cap	(1,0,0)
19	desk	desk_1	27	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 211, 102, 145),(439, 178, 103, 99),(500, 244, 75, 110)	white coffee mug	(0,1,0)
20	desk	desk_1	27	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 211, 102, 145),(439, 178, 103, 99),(500, 244, 75, 110)	orange soda can	(0,0,1)
19	desk	desk_1	28	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 219, 133, 150),(473, 193, 105, 101),(535, 261, 79, 114)	cap	(1,0,0)
20	desk	desk_1	28	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 219, 133, 150),(473, 193, 105, 101),(535, 261, 79, 114)	white coffee mug	(0,1,0)
21	desk	desk_1	28	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 219, 133, 150),(473, 193, 105, 101),(535, 261, 79, 114)	orange soda can	(0,0,1)
20	desk	desk_1	29	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 226, 167, 150),(512, 206, 109, 103),(577, 278, 63, 117)	cap	(1,0,0)
21	desk	desk_1	29	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 226, 167, 150),(512, 206, 109, 103),(577, 278, 63, 117)	coffee mug	(0,1,0)
22	desk	desk_1	29	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 226, 167, 150),(512, 206, 109, 103),(577, 278, 63, 117)	orange drink	(0,0,1)
21	desk	desk_1	3	soda can	soda_can_6	(1, 257, 47, 152)	soda can	(1,)
22	desk	desk_1	30	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(11, 214, 178, 150),(542, 208, 98, 105),(606, 290, 34, 115)	cap	(1,0,0)
23	desk	desk_1	30	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(11, 214, 178, 150),(542, 208, 98, 105),(606, 290, 34, 115)	coffee mug	(0,1,0)
24	desk	desk_1	30	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(11, 214, 178, 150),(542, 208, 98, 105),(606, 290, 34, 115)	soda can	(0,0,1)
23	desk	desk_1	31	cap,coffee mug	cap_4,coffee_mug_5	(26, 202, 178, 148),(567, 217, 73, 108)	cap	(1,0)
24	desk	desk_1	31	cap,coffee mug	cap_4,coffee_mug_5	(26, 202, 178, 148),(567, 217, 73, 108)	coffee mug	(0,1)
24	desk	desk_1	32	cap,coffee mug	cap_4,coffee_mug_5	(67, 206, 176, 148),(620, 245, 20, 102)	red cap	(1,0)
25	desk	desk_1	32	cap,coffee mug	cap_4,coffee_mug_5	(67, 206, 176, 148),(620, 245, 20, 102)	tall mug	(0,1)
25	desk	desk_1	33	cap	cap_4	(105, 222, 175, 150)	cap	(1,)
26	desk	desk_1	34	cap	cap_4	(141, 246, 175, 151)	cap	(1,)
27	desk	desk_1	35	cap	cap_4	(164, 262, 176, 155)	red cap	(1,)
28	desk	desk_1	36	cap	cap_4	(175, 257, 179, 158)	red cap	(1,)
29	desk	desk_1	37	cap	cap_4	(177, 258, 181, 162)	red cap	(1,)
30	desk	desk_1	38	cap	cap_4	(179, 256, 185, 167)	cap	(1,)
31	desk	desk_1	39	cap	cap_4	(186, 251, 185, 171)	simple cap	(1,)
32	desk	desk_1	4	coffee mug,soda can	coffee_mug_5,soda_can_6	(1, 209, 90, 123),(36, 233, 99, 141)	coffee mug	(1,0)
33	desk	desk_1	4	coffee mug,soda can	coffee_mug_5,soda_can_6	(1, 209, 90, 123),(36, 233, 99, 141)	soda can	(0,1)
33	desk	desk_1	40	cap	cap_4	(183, 248, 187, 176)	cap	(1,)
34	desk	desk_1	41	cap	cap_4	(202, 235, 186, 176)	red cap	(1,)
35	desk	desk_1	42	cap	cap_4	(185, 223, 185, 172)	red cap	(1,)
36	desk	desk_1	43	cap	cap_4	(190, 223, 184, 174)	cap	(1,)
37	desk	desk_1	44	cap	cap_4	(182, 242, 187, 181)	cap	(1,)
38	desk	desk_1	45	cap	cap_4	(183, 243, 185, 186)	black dotted cap	(1,)
39	desk	desk_1	46	cap	cap_4	(184, 245, 185, 192)	black dotted cap	(1,)
40	desk	desk_1	47	cap	cap_4	(184, 260, 185, 197)	red cap	(1,)
41	desk	desk_1	48	cap	cap_4	(188, 257, 183, 200)	red cap	(1,)
42	desk	desk_1	49	cap	cap_4	(202, 248, 177, 195)	black dotted cap	(1,)
43	desk	desk_1	5	coffee mug,soda can	coffee_mug_5,soda_can_6	(2, 202, 143, 117),(98, 227, 88, 134)	coffee mug	(1,0)
44	desk	desk_1	5	coffee mug,soda can	coffee_mug_5,soda_can_6	(2, 202, 143, 117),(98, 227, 88, 134)	soda can	(0,1)
44	desk	desk_1	50	cap	cap_4	(206, 251, 172, 197)	cap	(1,)
45	desk	desk_1	51	cap	cap_4	(210, 240, 172, 196)	black dotted cap	(1,)
46	desk	desk_1	52	cap,coffee mug	cap_4,coffee_mug_5	(197, 237, 174, 195),(627, 131, 13, 79)	cap	(1,0)
47	desk	desk_1	52	cap,coffee mug	cap_4,coffee_mug_5	(197, 237, 174, 195),(627, 131, 13, 79)	coffee mug	(0,1)
47	desk	desk_1	53	cap,coffee mug	cap_4,coffee_mug_5	(188, 218, 171, 192),(603, 108, 37, 89)	black dotted cap	(1,0)
48	desk	desk_1	53	cap,coffee mug	cap_4,coffee_mug_5	(188, 218, 171, 192),(603, 108, 37, 89)	tall mug	(0,1)
48	desk	desk_1	54	cap,coffee mug	cap_4,coffee_mug_5	(165, 218, 172, 192),(572, 106, 68, 87)	The cap left from the tall mug	(1,0)
49	desk	desk_1	54	cap,coffee mug	cap_4,coffee_mug_5	(165, 218, 172, 192),(572, 106, 68, 87)	The coffee mug right from the cap	(0,1)
49	desk	desk_1	55	cap,coffee mug	cap_4,coffee_mug_5	(155, 211, 171, 193),(552, 93, 84, 85)	red cap	(1,0)
50	desk	desk_1	55	cap,coffee mug	cap_4,coffee_mug_5	(155, 211, 171, 193),(552, 93, 84, 85)	tall mug	(0,1)
50	desk	desk_1	56	cap,coffee mug	cap_4,coffee_mug_5	(155, 196, 173, 194),(549, 80, 82, 85)	cap	(1,0)
51	desk	desk_1	56	cap,coffee mug	cap_4,coffee_mug_5	(155, 196, 173, 194),(549, 80, 82, 85)	white coffee mug	(0,1)
51	desk	desk_1	57	cap,coffee mug	cap_4,coffee_mug_5	(156, 187, 177, 195),(554, 75, 83, 86)	The cap left from the tall mug	(1,0)
52	desk	desk_1	57	cap,coffee mug	cap_4,coffee_mug_5	(156, 187, 177, 195),(554, 75, 83, 86)	white coffee mug	(0,1)
